"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"e:\Express Projects\BrokerCrmExpress\routes\commentRoutes.js", "JavaScript", 9, 0, 1, 3, 13
"e:\Express Projects\BrokerCrmExpress\routes\companyRoutes.js", "JavaScript", 6, 0, 1, 4, 11
"e:\Express Projects\BrokerCrmExpress\routes\establishmentRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\expensesConfigRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\expensesDayRoutes.js", "JavaScript", 7, 0, 1, 3, 11
"e:\Express Projects\BrokerCrmExpress\routes\fileRoutes.js", "JavaScript", 7, 0, 1, 4, 12
"e:\Express Projects\BrokerCrmExpress\routes\goalRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\motivationRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\productRoutes.js", "JavaScript", 9, 0, 1, 3, 13
"e:\Express Projects\BrokerCrmExpress\routes\reportRoutes.js", "JavaScript", 8, 0, 1, 4, 13
"e:\Express Projects\BrokerCrmExpress\routes\serviceRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\specialityRoutes.js", "JavaScript", 5, 0, 1, 4, 10
"e:\Express Projects\BrokerCrmExpress\routes\statsRoutes.js", "JavaScript", 27, 0, 1, 4, 32
"e:\Express Projects\BrokerCrmExpress\routes\userRoutes.js", "JavaScript", 17, 0, 1, 4, 22
"e:\Express Projects\BrokerCrmExpress\routes\userTrackingRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\routes\versionRoutes.js", "JavaScript", 7, 0, 1, 4, 12
"e:\Express Projects\BrokerCrmExpress\routes\visitRoutes.js", "JavaScript", 9, 0, 1, 4, 14
"e:\Express Projects\BrokerCrmExpress\routes\wilayaRoutes.js", "JavaScript", 7, 0, 1, 3, 11
"e:\Express Projects\BrokerCrmExpress\stats\controllers\adminMonthController.js", "JavaScript", 94, 0, 3, 17, 114
"e:\Express Projects\BrokerCrmExpress\stats\controllers\adminYearController.js", "JavaScript", 135, 0, 0, 14, 149
"e:\Express Projects\BrokerCrmExpress\stats\controllers\delegateMonthController.js", "JavaScript", 381, 0, 6, 54, 441
"e:\Express Projects\BrokerCrmExpress\stats\controllers\delegateYearController.js", "JavaScript", 183, 0, 0, 15, 198
"e:\Express Projects\BrokerCrmExpress\stats\controllers\supervisorMonthController.js", "JavaScript", 182, 0, 6, 19, 207
"e:\Express Projects\BrokerCrmExpress\stats\controllers\supervisorYearController.js", "JavaScript", 237, 0, 0, 21, 258
"e:\Express Projects\BrokerCrmExpress\stats\routes\adminMonthRoutes.js", "JavaScript", 10, 0, 1, 4, 15
"e:\Express Projects\BrokerCrmExpress\stats\routes\adminYearRoutes.js", "JavaScript", 11, 0, 1, 4, 16
"e:\Express Projects\BrokerCrmExpress\stats\routes\delegateMonthRoutes.js", "JavaScript", 38, 0, 1, 5, 44
"e:\Express Projects\BrokerCrmExpress\stats\routes\delegateYearRoutes.js", "JavaScript", 11, 0, 1, 3, 15
"e:\Express Projects\BrokerCrmExpress\stats\routes\supervisorMonthRoutes.js", "JavaScript", 15, 0, 1, 4, 20
"e:\Express Projects\BrokerCrmExpress\stats\routes\supervisorYearRoutes.js", "JavaScript", 16, 0, 1, 5, 22
"e:\Express Projects\BrokerCrmExpress\utils\queryBuilder.js", "JavaScript", 32, 0, 0, 7, 39
"e:\Express Projects\BrokerCrmExpress\wilayas.json", "JSON", 0, 234, 0, 1, 235
"Total", "-", 4962, 4647, 88, 641, 10338
