"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\clientController.js", "JavaScript", 147, 0, 0, 10, 157
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\commandController.js", "JavaScript", 71, 0, 0, 5, 76
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\expensesDayController.js", "JavaScript", 37, 0, 0, 5, 42
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\planController.js", "JavaScript", 117, 0, 0, 10, 127
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\reportController.js", "JavaScript", 33, 0, 0, 4, 37
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\todoController.js", "JavaScript", 81, 0, 0, 10, 91
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\userController.js", "JavaScript", 104, 0, 0, 11, 115
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\userTrackingController.js", "JavaScript", 56, 0, 0, 4, 60
"e:\Express Projects\BrokerCrmExpress\Admin\controllers\visitController.js", "JavaScript", 62, 0, 0, 5, 67
"e:\Express Projects\BrokerCrmExpress\Admin\routes\clientRoutes.js", "JavaScript", 9, 0, 1, 3, 13
"e:\Express Projects\BrokerCrmExpress\Admin\routes\commandRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\Admin\routes\expensesDayRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\Admin\routes\planRoutes.js", "JavaScript", 7, 0, 1, 3, 11
"e:\Express Projects\BrokerCrmExpress\Admin\routes\reportRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\Admin\routes\todoRoutes.js", "JavaScript", 8, 0, 1, 2, 11
"e:\Express Projects\BrokerCrmExpress\Admin\routes\userRoutes.js", "JavaScript", 8, 0, 1, 3, 12
"e:\Express Projects\BrokerCrmExpress\Admin\routes\userTrackingRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\Admin\routes\visitRoutes.js", "JavaScript", 6, 0, 1, 3, 10
"e:\Express Projects\BrokerCrmExpress\app.js", "JavaScript", 137, 0, 17, 18, 172
"e:\Express Projects\BrokerCrmExpress\controllers\clientController.js", "JavaScript", 82, 0, 0, 6, 88
"e:\Express Projects\BrokerCrmExpress\controllers\coProductController.js", "JavaScript", 50, 0, 0, 6, 56
"e:\Express Projects\BrokerCrmExpress\controllers\commandController.js", "JavaScript", 106, 0, 0, 9, 115
"e:\Express Projects\BrokerCrmExpress\controllers\commentController.js", "JavaScript", 86, 0, 0, 6, 92
"e:\Express Projects\BrokerCrmExpress\controllers\companyController.js", "JavaScript", 27, 0, 0, 4, 31
"e:\Express Projects\BrokerCrmExpress\controllers\establishmentController.js", "JavaScript", 15, 0, 0, 5, 20
"e:\Express Projects\BrokerCrmExpress\controllers\expensesConfigController.js", "JavaScript", 47, 0, 0, 5, 52
"e:\Express Projects\BrokerCrmExpress\controllers\expensesDayController.js", "JavaScript", 56, 0, 0, 7, 63
"e:\Express Projects\BrokerCrmExpress\controllers\expensesUserController.js", "JavaScript", 14, 0, 0, 4, 18
"e:\Express Projects\BrokerCrmExpress\controllers\fileUploadController.js", "JavaScript", 61, 0, 6, 13, 80
"e:\Express Projects\BrokerCrmExpress\controllers\goalController.js", "JavaScript", 62, 0, 0, 8, 70
"e:\Express Projects\BrokerCrmExpress\controllers\motivationController.js", "JavaScript", 16, 0, 0, 5, 21
"e:\Express Projects\BrokerCrmExpress\controllers\productController.js", "JavaScript", 50, 0, 0, 6, 56
"e:\Express Projects\BrokerCrmExpress\controllers\reportController.js", "JavaScript", 151, 0, 9, 12, 172
"e:\Express Projects\BrokerCrmExpress\controllers\serviceController.js", "JavaScript", 23, 0, 0, 5, 28
"e:\Express Projects\BrokerCrmExpress\controllers\specialityController.js", "JavaScript", 16, 0, 1, 5, 22
"e:\Express Projects\BrokerCrmExpress\controllers\todoController.js", "JavaScript", 21, 0, 0, 3, 24
"e:\Express Projects\BrokerCrmExpress\controllers\userController.js", "JavaScript", 377, 0, 0, 39, 416
"e:\Express Projects\BrokerCrmExpress\controllers\userTrackingController.js", "JavaScript", 17, 0, 0, 5, 22
"e:\Express Projects\BrokerCrmExpress\controllers\versionController.js", "JavaScript", 26, 0, 0, 6, 32
"e:\Express Projects\BrokerCrmExpress\controllers\visitController.js", "JavaScript", 138, 0, 0, 12, 150
"e:\Express Projects\BrokerCrmExpress\controllers\wilayaController.js", "JavaScript", 26, 0, 0, 6, 32
"e:\Express Projects\BrokerCrmExpress\cronjobs\expensesDay.js", "JavaScript", 111, 0, 5, 9, 125
"e:\Express Projects\BrokerCrmExpress\middlewares\accessToken.js", "JavaScript", 13, 0, 0, 3, 16
"e:\Express Projects\BrokerCrmExpress\middlewares\refreshToken.js", "JavaScript", 12, 0, 0, 3, 15
"e:\Express Projects\BrokerCrmExpress\middlewares\userJwt.js", "JavaScript", 34, 0, 0, 3, 37
"e:\Express Projects\BrokerCrmExpress\models\client.js", "JavaScript", 86, 0, 0, 5, 91
"e:\Express Projects\BrokerCrmExpress\models\coProduct.js", "JavaScript", 45, 0, 0, 4, 49
"e:\Express Projects\BrokerCrmExpress\models\command.js", "JavaScript", 101, 0, 0, 3, 104
"e:\Express Projects\BrokerCrmExpress\models\comment.js", "JavaScript", 22, 0, 0, 4, 26
"e:\Express Projects\BrokerCrmExpress\models\company.js", "JavaScript", 18, 0, 0, 4, 22
"e:\Express Projects\BrokerCrmExpress\models\establishment.js", "JavaScript", 20, 0, 0, 4, 24
"e:\Express Projects\BrokerCrmExpress\models\expensesConfig.js", "JavaScript", 16, 0, 0, 4, 20
"e:\Express Projects\BrokerCrmExpress\models\expensesDay.js", "JavaScript", 84, 0, 0, 2, 86
"e:\Express Projects\BrokerCrmExpress\models\expensesUser.js", "JavaScript", 27, 0, 0, 2, 29
"e:\Express Projects\BrokerCrmExpress\models\file.js", "JavaScript", 18, 0, 0, 4, 22
"e:\Express Projects\BrokerCrmExpress\models\goal.js", "JavaScript", 31, 0, 0, 4, 35
"e:\Express Projects\BrokerCrmExpress\models\motivation.js", "JavaScript", 22, 0, 0, 4, 26
"e:\Express Projects\BrokerCrmExpress\models\product.js", "JavaScript", 45, 0, 0, 4, 49
"e:\Express Projects\BrokerCrmExpress\models\report.js", "JavaScript", 76, 0, 0, 4, 80
"e:\Express Projects\BrokerCrmExpress\models\service.js", "JavaScript", 16, 0, 0, 4, 20
"e:\Express Projects\BrokerCrmExpress\models\speciality.js", "JavaScript", 18, 0, 0, 4, 22
"e:\Express Projects\BrokerCrmExpress\models\todo.js", "JavaScript", 54, 0, 0, 5, 59
"e:\Express Projects\BrokerCrmExpress\models\user.js", "JavaScript", 85, 0, 0, 5, 90
"e:\Express Projects\BrokerCrmExpress\models\userTracking.js", "JavaScript", 23, 0, 0, 5, 28
"e:\Express Projects\BrokerCrmExpress\models\version.js", "JavaScript", 20, 0, 0, 4, 24
"e:\Express Projects\BrokerCrmExpress\models\visit.js", "JavaScript", 59, 0, 0, 4, 63
"e:\Express Projects\BrokerCrmExpress\models\wilaya.js", "JavaScript", 12, 0, 0, 4, 16
"e:\Express Projects\BrokerCrmExpress\package-lock.json", "JSON", 0, 4377, 0, 1, 4378
"e:\Express Projects\BrokerCrmExpress\package.json", "JSON", 0, 36, 0, 1, 37
"e:\Express Projects\BrokerCrmExpress\routes\clientRoutes.js", "JavaScript", 9, 0, 1, 3, 13
"e:\Express Projects\BrokerCrmExpress\routes\coProductRoutes.js", "JavaScript", 9, 0, 1, 3, 13
"e:\Express Projects\BrokerCrmExpress\routes\commandRoutes.js", "JavaScript", 8, 0, 0, 3, 11
