"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"d:\ABDOU\BrokerCrmExpress\routes\motivationRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\routes\productRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\routes\reportRoutes.js", "JavaScript", 8, 0, 0, 1, 4, 13
"d:\ABDOU\BrokerCrmExpress\routes\serviceRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\routes\specialityRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\routes\statsRoutes.js", "JavaScript", 21, 0, 0, 1, 4, 26
"d:\ABDOU\BrokerCrmExpress\routes\supplierRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\routes\userRoutes.js", "JavaScript", 17, 0, 0, 1, 4, 22
"d:\ABDOU\BrokerCrmExpress\routes\visitRoutes.js", "JavaScript", 9, 0, 0, 1, 4, 14
"d:\ABDOU\BrokerCrmExpress\routes\wilayaRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"d:\ABDOU\BrokerCrmExpress\stats\delegateMonthController.js", "JavaScript", 129, 0, 0, 0, 17, 146
"d:\ABDOU\BrokerCrmExpress\swagger.js", "JavaScript", 11, 0, 0, 6, 1, 18
"d:\ABDOU\BrokerCrmExpress\test.js", "JavaScript", 9, 0, 0, 0, 3, 12
"d:\ABDOU\BrokerCrmExpress\utils\queryBuilder.js", "JavaScript", 19, 0, 0, 0, 5, 24
"d:\ABDOU\BrokerCrmExpress\wilayas.json", "JSON", 0, 234, 0, 0, 1, 235
"Total", "-", 2142, 2335, 5, 244, 360, 5086
