"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"e:\NodeJs Express Projects\Broker Crm\.env", "Properties", 0, 0, 4, 0, 3, 7
"e:\NodeJs Express Projects\Broker Crm\app.js", "JavaScript", 41, 0, 0, 6, 8, 55
"e:\NodeJs Express Projects\Broker Crm\controllers\clientController.js", "JavaScript", 30, 0, 0, 0, 6, 36
"e:\NodeJs Express Projects\Broker Crm\controllers\specialityController.js", "JavaScript", 15, 0, 0, 1, 5, 21
"e:\NodeJs Express Projects\Broker Crm\controllers\userController.js", "JavaScript", 182, 0, 0, 0, 23, 205
"e:\NodeJs Express Projects\Broker Crm\controllers\wilayaController.js", "JavaScript", 16, 0, 0, 1, 5, 22
"e:\NodeJs Express Projects\Broker Crm\middlewares\jwtMiddleware.js", "JavaScript", 13, 0, 0, 0, 3, 16
"e:\NodeJs Express Projects\Broker Crm\middlewares\userJwt.js", "JavaScript", 19, 0, 0, 0, 6, 25
"e:\NodeJs Express Projects\Broker Crm\models\client.js", "JavaScript", 52, 0, 0, 0, 4, 56
"e:\NodeJs Express Projects\Broker Crm\models\speciality.js", "JavaScript", 10, 0, 0, 0, 4, 14
"e:\NodeJs Express Projects\Broker Crm\models\user.js", "JavaScript", 25, 0, 0, 0, 4, 29
"e:\NodeJs Express Projects\Broker Crm\models\wilaya.js", "JavaScript", 11, 0, 0, 0, 4, 15
"e:\NodeJs Express Projects\Broker Crm\package-lock.json", "JSON", 0, 1602, 0, 0, 1, 1603
"e:\NodeJs Express Projects\Broker Crm\package.json", "JSON", 0, 23, 0, 0, 1, 24
"e:\NodeJs Express Projects\Broker Crm\routes\clientRoutes.js", "JavaScript", 6, 0, 0, 1, 4, 11
"e:\NodeJs Express Projects\Broker Crm\routes\specialityRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"e:\NodeJs Express Projects\Broker Crm\routes\userRoutes.js", "JavaScript", 10, 0, 0, 1, 4, 15
"e:\NodeJs Express Projects\Broker Crm\routes\wilayaRoutes.js", "JavaScript", 5, 0, 0, 1, 4, 10
"e:\NodeJs Express Projects\Broker Crm\wilayas.json", "JSON", 0, 234, 0, 0, 1, 235
"Total", "-", 440, 1859, 4, 12, 94, 2409
