"filename", "language", "Properties", "JSON", "JavaScript", "comment", "blank", "total"
"e:\NodeJs Express Projects\Broker Crm\.env", "Properties", 4, 0, 0, 0, 3, 7
"e:\NodeJs Express Projects\Broker Crm\app.js", "JavaScript", 0, 0, 41, 6, 8, 55
"e:\NodeJs Express Projects\Broker Crm\controllers\clientController.js", "JavaScript", 0, 0, 30, 0, 6, 36
"e:\NodeJs Express Projects\Broker Crm\controllers\specialityController.js", "JavaScript", 0, 0, 15, 1, 5, 21
"e:\NodeJs Express Projects\Broker Crm\controllers\userController.js", "JavaScript", 0, 0, 182, 0, 23, 205
"e:\NodeJs Express Projects\Broker Crm\controllers\wilayaController.js", "JavaScript", 0, 0, 16, 1, 5, 22
"e:\NodeJs Express Projects\Broker Crm\middlewares\jwtMiddleware.js", "JavaScript", 0, 0, 13, 0, 3, 16
"e:\NodeJs Express Projects\Broker Crm\middlewares\userJwt.js", "JavaScript", 0, 0, 19, 0, 6, 25
"e:\NodeJs Express Projects\Broker Crm\models\client.js", "JavaScript", 0, 0, 52, 0, 4, 56
"e:\NodeJs Express Projects\Broker Crm\models\speciality.js", "JavaScript", 0, 0, 10, 0, 4, 14
"e:\NodeJs Express Projects\Broker Crm\models\user.js", "JavaScript", 0, 0, 25, 0, 4, 29
"e:\NodeJs Express Projects\Broker Crm\models\wilaya.js", "JavaScript", 0, 0, 11, 0, 4, 15
"e:\NodeJs Express Projects\Broker Crm\package-lock.json", "JSON", 0, 1602, 0, 0, 1, 1603
"e:\NodeJs Express Projects\Broker Crm\package.json", "JSON", 0, 23, 0, 0, 1, 24
"e:\NodeJs Express Projects\Broker Crm\routes\clientRoutes.js", "JavaScript", 0, 0, 6, 1, 4, 11
"e:\NodeJs Express Projects\Broker Crm\routes\specialityRoutes.js", "JavaScript", 0, 0, 5, 1, 4, 10
"e:\NodeJs Express Projects\Broker Crm\routes\userRoutes.js", "JavaScript", 0, 0, 10, 1, 4, 15
"e:\NodeJs Express Projects\Broker Crm\routes\wilayaRoutes.js", "JavaScript", 0, 0, 5, 1, 4, 10
"e:\NodeJs Express Projects\Broker Crm\wilayas.json", "JSON", 0, 234, 0, 0, 1, 235
"Total", "-", 4, 1859, 440, 12, 94, 2409
